Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-09-07,0.899955,0.952295,0.886695,0.943821,255115183.59076
2000-09-08,0.937939,0.937939,0.890584,0.896166,229369169.54471
2000-09-11,0.893375,0.918997,0.884801,0.889686,219823635.16144
2000-09-12,0.872838,0.914211,0.867654,0.879318,220546289.7095
2000-09-13,0.863865,0.905538,0.863865,0.883006,358960065.49303
2000-09-14,0.89158,0.907432,0.864862,0.86546,500402336.7451
2000-09-15,0.879318,0.885699,0.825781,0.840537,462818024.16094
2000-09-18,0.840835,0.924779,0.838144,0.923185,498037399.11515
2000-09-19,0.909526,0.920891,0.89158,0.912416,318517906.37322
2000-09-20,0.904142,0.935148,0.89158,0.929066,266756474.03939
2000-09-21,0.890584,0.907432,0.840835,0.862669,598873339.00974
2000-09-22,0.765963,0.798165,0.761278,0.794178,852516983.74129
2000-09-25,0.803151,0.844824,0.792384,0.814416,510959660.91894
2000-09-26,0.811724,0.833358,0.782015,0.783012,341307692.71253
2000-09-27,0.787797,0.803151,0.73426,0.744928,471903664.03327
2000-09-28,0.75071,0.819401,0.732366,0.814416,1149184534.5264
2000-09-29,0.429291,0.441444,0.386401,0.392163,8706574585.0992
2000-10-02,0.40646,0.407377,0.357699,0.369015,2844600717.9187
2000-10-03,0.379662,0.38053,0.337949,0.339495,2390986718.6317
2000-10-04,0.340611,0.361677,0.333074,0.359534,1719841710.9201
2000-10-05,0.357699,0.372922,0.334878,0.335756,1024153012.3534
2000-10-06,0.345536,0.349215,0.319655,0.337949,718728181.21713
2000-10-09,0.34436,0.348297,0.32151,0.33119,701023206.47731
2000-10-10,0.329066,0.341508,0.312068,0.317781,810754387.25261
2000-10-11,0.306286,0.319655,0.290992,0.298629,1405909345.8962
2000-10-12,0.308938,0.316644,0.296755,0.304541,1397276987.4248
2000-10-13,0.30799,0.336644,0.304541,0.335756,1463780532.6176
2000-10-16,0.339495,0.353791,0.325397,0.327312,962175899.76391
2000-10-17,0.330352,0.334021,0.299896,0.306286,705897825.89531
